         193658 function calls (189629 primitive calls) in 0.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.079    0.079 connection.py:356(connect)
      164    0.000    0.000    0.000    0.000 _collections_abc.py:901(__iter__)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      157    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      157    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      135    0.000    0.000    0.000    0.000 types.py:176(__get__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      143    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
    31/12    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.683    0.683 financial.py:27(main)
      696    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    40/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      158    0.000    0.000    0.000    0.000 socket.py:730(readable)
      206    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      284    0.000    0.000    0.000    0.000 os.py:758(decode)
      152    0.000    0.000    0.000    0.000 os.py:754(encode)
      317    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       20    0.000    0.000    0.094    0.005 response.py:754(_handle_chunk)
        2    0.000    0.000    0.000    0.000 request.py:2488(getproxies_environment)
       12    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       20    0.000    0.000    0.005    0.000 response.py:397(_decode)
        4    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      402    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       11    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
       24    0.000    0.000    0.094    0.004 client.py:623(_safe_read)
