         195194 function calls (191253 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      133    0.000    0.000    0.000    0.000 types.py:176(__get__)
        6    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      678    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.139    0.139 connection.py:356(connect)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
       12    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       88    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
     17/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     11/5    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       81    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       26    0.000    0.000    0.000    0.000 element.py:2011(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
      108    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       60    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       82    0.000    0.000    0.002    0.000 re.py:249(compile)
        4    0.000    0.000    0.001    0.000 ssl_match_hostname.py:25(_dnsname_match)
        1    0.000    0.000    0.929    0.929 connectionpool.py:522(urlopen)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       55    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
        5    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        5    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       31    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       31    0.000    0.000    0.000    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.074    0.074 __init__.py:120(__init__)
        1    0.000    0.000    0.002    0.002 ssl_.py:250(create_urllib3_context)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.062    0.062 ssl.py:1013(_create)
       25    0.000    0.000    0.001    0.000 element.py:1846(find)
       30    0.000    0.000    0.000    0.000 element.py:274(get_text)
        1    0.000    0.000    0.582    0.582 connectionpool.py:361(_make_request)
      133    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       66    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       26    0.000    0.000    0.025    0.001 element.py:1871(find_all)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        5    0.000    0.000    0.001    0.000 sre_parse.py:937(parse)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      4/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.346    0.346 response.py:200(__init__)
        2    0.000    0.000    0.000    0.000 url.py:333(parse_url)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.346    0.346 response.py:534(read)
       14    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.443    0.443 client.py:278(_read_status)
      5/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
       17    0.000    0.000    0.000    0.000 _collections.py:215(add)
       23    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
    49/47    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 client.py:1082(putrequest)
        2    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:813(get)
        1    0.000    0.000    0.443    0.443 client.py:311(begin)
        1    0.000    0.000    0.064    0.064 connection.py:37(create_connection)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
       26    0.000    0.000    0.000    0.000 element.py:2278(__init__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:435(_parse_sub)
       22    0.000    0.000    0.443    0.020 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.346    0.346 response.py:632(from_httplib)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        4    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       34    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      175    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       52    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 socket.py:243(__repr__)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 client.py:1238(putheader)
        1    0.000    0.000    0.000    0.000 _collections.py:231(extend)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       30    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       96    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       24    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        2    0.000    0.000    0.000    0.000 queue.py:122(put)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        2    0.000    0.000    0.000    0.000 client.py:553(_get_chunk_left)
        1    0.000    0.000    0.929    0.929 poolmanager.py:353(urlopen)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.001    0.001 client.py:224(parse_headers)
        1    0.000    0.000    0.000    0.000 __init__.py:457(reset)
        1    0.000    0.000    0.000    0.000 client.py:1284(_send_request)
        1    0.000    0.000    0.001    0.001 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
       23    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:79(_default_key_normalizer)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        5    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        6    0.000    0.000    0.000    0.000 re.py:269(escape)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.000    0.000 socket.py:768(close)
        1    0.000    0.000    0.071    0.071 ssl_.py:355(ssl_wrap_socket)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      4/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        6    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:28(ip_address)
        6    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        5    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 ssl.py:561(set_alpn_protocols)
        2    0.000    0.000    0.000    0.000 client.py:523(_read_next_chunk_size)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     17/5    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        3    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.346    0.346 client.py:577(_read_chunked)
        8    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.139    0.139 connectionpool.py:1034(_validate_conn)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 socket.py:679(__init__)
       61    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       19    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
        1    0.000    0.000    0.062    0.062 ssl.py:1334(do_handshake)
        2    0.000    0.000    0.000    0.000 ssl_.py:457(is_ipaddress)
        3    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 client.py:248(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1225(sendall)
        3    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
        2    0.000    0.000    0.000    0.000 ssl.py:727(verify_mode)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:314(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
       11    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       14    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.005    0.005 socket.py:938(getaddrinfo)
        3    0.000    0.000    0.000    0.000 threading.py:359(notify)
       23    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      4/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
        4    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        3    0.000    0.000    0.000    0.000 pathlib.py:567(_parse_args)
        1    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 url.py:305(_idna_encode)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 poolmanager.py:171(__init__)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
        6    0.000    0.000    0.000    0.000 url.py:306(<listcomp>)
        1    0.000    0.000    0.001    0.001 readers.py:1(<module>)
        2    0.000    0.000    0.346    0.173 client.py:623(_safe_read)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.444    0.444 client.py:1330(getresponse)
        8    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.064    0.064 connection.py:161(_new_conn)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.074    0.074 _htmlparser.py:391(feed)
        1    0.000    0.000    0.000    0.000 connection.py:231(request)
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:1181(ZipFile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        1    0.000    0.000    0.000    0.000 client.py:837(__init__)
       20    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        3    0.000    0.000    0.000    0.000 connection.py:221(putheader)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        2    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 ssl.py:1404(version)
        3    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       10    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 client.py:412(_close_conn)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        2    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        1    0.000    0.000    0.001    0.001 connection.py:531(_match_hostname)
        2    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.000    0.000 parser.py:255(parse_html_declaration)
        1    0.000    0.000    0.000    0.000 client.py:967(send)
        5    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        2    0.000    0.000    0.000    0.000 response.py:430(_error_catcher)
        1    0.000    0.000    0.000    0.000 connection.py:115(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.929    0.929 request.py:82(request_encode_url)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:66(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       12    0.000    0.000    0.000    0.000 six.py:1014(ensure_text)
        5    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1527(__init_subclass__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       26    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 connection.py:132(host)
        1    0.000    0.000    0.000    0.000 ssl.py:1150(getpeercert)
        2    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1176(_ip_int_from_string)
        8    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       19    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       43    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.929    0.929 request.py:58(request)
        2    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       28    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
        6    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 parser.py:95(reset)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1275(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 queue.py:154(get)
